id,clean_content,class
19906519,phản_ánh tác_giả sách_trùng sách nước_ngoài nhầm_lẫn tiki giải_quyết hàng hoàn tiền tiki tôn_trọng khách_hàng cám_ơn tiki giải_quyết tư_vấn nhiệt_tình thiện_chí giải_quyết cám_ơn,positive
19968834,tạm_thời ổn đọc review hj yhanks,positive
19943636,quyển sách tựa_đề lầm khách_hàng viết không đủ_nghiệm trải_nghiệm viết câu_chuyện tầm nội_không xứng_đáng quyển sách,negative
19919040,giao hàng đóng_gói cẩn_thận,positive
19963835,tạm đọc sách tác_giả nội_sưu_tầm trùng_lặp,positive
19919148,sách nhầm phương_pháp tư nội_cuốn viết đạo_lý,negative
19929876,sách đọc câu_chuyện ví_dụ rút_nghiệm,positive
19930369,marketing tác_giả không sợ sách dở sợ không marketing,negative
19931164,đóng_gói kỷ hàng giới_thiệu,positive
19911305,sách nội_không tác_giả viết góp_nhặt không rõ_ràng tác_giả kém,negative
19940140,đọc viết cảm_nhận,positive
19937913,sách nét đẹp hàng đóng_gói cẩn_thận hàng,positive
19899210,sách trình_bày nội_đẹp hấp_dẫn ý_nghĩa,positive
19909692,sách đẹp giá rẻ sách ngon,positive
19935016,sách nội tác_giả xây_dựng kỹ_càng,positive
19931706,shop sách bìa bì_gãy bớt shop,positive
19904408,giao hàng nhanh_sách ý_nghĩa,positive
19941147,giao hàng thời,positive
19943881,giao hàng bìa sách đẹp mặc_dù đọc sơ tiêu_đề chương tò_tò nội_dụng zeze,positive
19950347,giao hàng đóng_gói đẹp cẩn_thận,positive
19926677,chất_lượng giấy bìa tốt hàng đầy_đủ hình_thức nội không đợi clip quảng_cáo ngắn cổ_học hoa truyện_ngắn hầu_như câu_chuyện đời_thường không tinh_hoa hẳn câu truyện thâm_sâu quảng_cáo sách clip trí_tuệ người_xưa chủ_yếu câu_chuyện thời_chiến_xưa trung_quốc xuân thu_chiến_quốc_ngũ đại_đường tam_quốc đọc đọc chục không đợi đạo_lý người_xưa quyển pó không đọc nổi đọc quan_điểm sách quảng_cáo không trân_trọng,negative
19953206,quyển nâu đỏ lá chất giấy xấu_cắt chuẩn_quyển chất,positive
19822425,chất_lượng giấy tốt nội đọc hàng tận_tâm shop ấn_tượng thư_ngỏ,positive
19929699,shop hàng_chóng đóng_gói đẹp thư_ngỏ shop thích bookmark bìa sách_sách rõ_ràng giấy đẹp shop,positive
19889842,sách giấy đẹp sản_phẩm chuẩn_shop đóng_gói cẩn_thân,positive
19917368,đóng_gói cẩn_thận hàng nhận_viên nhiệt_tình sách trình_bày đẹp nội_sách,positive
19852346,thất_vọng chất_lượng dán đọc tróc keo sách vật quý_báo đọc hư lưu cháu,negative
