id,clean_content,class
16227189,hàng đóng gói cẩn thận sách không trầy xước trang đẹp,0
19881830,sách rạch bìa đóng gói túi không hộp giấy vỏ không rạch,0
5289139,dịch vụ hàng quyển sách hài hàng lịch nhiệt tình không ngại tận địa hàng cảm ơn hàng lắm đóng gói sản phẩm sách nhăn góc bìa bookmark nhăn nốt tặng sách nhăn tặng quyết định đọc tiki hàng kì nội sách ngôn lủng củng dịch sơ sài xà quần dịch xác gốc chuốt câu văn phù hợp độc giả việt đọc quyển sách tiếng đọc ngữ câu văn thô sơ tiếc quyển sách,0
3119396,sách cũ dơ nếp gấp dám thùng hàng xuất hàng đầu tiên ỷ không kiểm hàng dịch vụ,0
9254834,vết bẩn xước sách kèm bookmark rút nghiệm,0
7695398,tikinow hàng tết sách giấy dày nội phù hợp độ quản lý giúp cải thiện tư trình bày mục ràng nhiên hình thức dơ bìa không chùi vệt hằn gáy sách dơ,0
12221640,sách không thất vọng,0
10575219,nội sách tâm lí học thể áp dụng tốt công nghiệp sách không bọc vận không móp quăn góc,0
19764642,sách nghiên cứu không nghiên cứu tràn đại hải không kiểu đánh giá tệ đọc,0
17318250,ấn tượng đầu tiên sách dày lắm cầm mấy bách toàn thư nhiên màu sách hơi đậm ảnh chụp không sách không bìa sách hơi cũ móp méo gáy không quan nội dung bìa sách dơ nma khăn ướt ổn áp nha sách chương cộng hình ảnh họa đọc thoải mái không áp lực xíu phương pháp trị liệu sách kiến thức chữa lành chuyên sâu chuyên sách kiến thức không phục vụ chữa lành,0
16427722,gửi sách không bọc chống sốc bọc sách không khóc thét sách mép nhẹ thất vọng đóng gói vận,0
19467061,không đọc sở thích sưu tầm sách quyển sách đẹp không rách toàn vết nhở gáy sách sách tồi chán quyển không quyển lành lặn,0
19904302,sách thời gian bọc bìa sách không kỹ gói phí bọc sách mua bao nylong mỏng lỏng lẻo chỗ vênh cầm sách đọc đường nylong bọc sách không thẳng,0
19992561,sách lỗi viết lỗi tả,0
16570318,hàng đóng gói không tốt sách bìa ố vàng sách không thích dán bìa sách,0
16608441,tốt trọn gói bọc sách ổn hàng móp góc chút xíu không,0
18290341,hàng tối hôm hôm hàng đóng gói sơ sài không miếng chống sốc hộp đựng hơi méo chút sách không cảm giác sách đọc không đọc phản hồi nội,0
19900913,sách trading gãy góc hộp dơ móm méo mua trading tưởng thất vọng,0
14308165,giao hàng tối hôm trưa hàng thất vọng sách dơ góc sách móp không đẹp không sách không đẹp,0
9421413,sách chất giấy tốt trading nhã nam yên tâm đầu sách bẩn nát giấy chút góc trái đầu hơi buồn không chút thuii,0
14007579,sách móp rách nhẹ chỗ gáy hơi chán tiki đóng gói cẩn thận nội sách lỗi tư đọc giật bất ngờ hoài tác giả phân tích chứng thí nghiệm đoạn đọc hơi quyển đọc sách nhã nam đẹp bìa chất giấy,0
19965504,sách gói không df,0
